Config,Accuracy_mean,Accuracy_std,MacroF1_mean,MacroF1_std,n_seeds,Blackhole_F1_mean,Blackhole_F1_std,Flooding_F1_mean,Flooding_F1_std,Grayhole_F1_mean,Grayhole_F1_std,Normal_F1_mean,Normal_F1_std,TDMA_F1_mean,TDMA_F1_std,params,size_kb
A_RF_500,0.9967437722419928,0.0,0.9793512973883368,0.0,1,0.9907651715039578,0.0,0.9629629629629629,0.0,0.9851496458761709,0.0,0.9984614329253354,0.0,0.959417273673257,0.0,,80185.5126953125
B_Full_MLP,0.9847153024911032,0.0,0.9093432456658697,0.0,1,0.8354732756046581,0.0,0.9439696106362773,0.0,0.8405587668593449,0.0,0.9969956997270603,0.0,0.929718875502008,0.0,70661.0,276.01953125
B_Full_MLP_tricks,0.9155160142348755,0.0,0.7072845480378112,0.0,1,0.6716594402837998,0.0,0.44912923923006415,0.0,0.5465319865319865,0.0,0.9601921687176199,0.0,0.9089099054255849,0.0,70661.0,276.01953125
C2_CL_MLP_domain,0.9850177935943061,0.0,0.9102044272758822,0.0,1,0.8361683079677709,0.0,0.9395085066162571,0.0,0.843274571359575,0.0,0.9971237005114512,0.0,0.9349470499243571,0.0,70661.0,276.01953125
C_CL_MLP_loss,0.983914590747331,0.0,0.9039164209424702,0.0,1,0.8206979542719615,0.0,0.9386213408876298,0.0,0.8312185779267417,0.0,0.9969858521594848,0.0,0.9320583794665325,0.0,70661.0,276.01953125
C_CL_MLP_loss_ext,0.9864590747330961,0.0,0.918251484077331,0.0,1,0.8530688158710478,0.0,0.9403973509933775,0.0,0.8670737435415689,0.0,0.9971827667782435,0.0,0.9335347432024169,0.0,70661.0,276.01953125
C_CL_MLP_loss_fair,0.983914590747331,0.0,0.9039164209424702,0.0,1,0.8206979542719615,0.0,0.9386213408876298,0.0,0.8312185779267417,0.0,0.9969858521594848,0.0,0.9320583794665325,0.0,70661.0,276.01953125
D_Small_MLP,0.9852135231316727,0.0,0.9130980250575895,0.0,1,0.8517110266159695,0.0,0.9412878787878788,0.0,0.8468864468864469,0.0,0.996818413920421,0.0,0.9287863590772317,0.0,1381.0,5.39453125
D_Small_MLP_tricks,0.9231138790035587,0.0,0.6850628960091454,0.0,1,0.5142071494042163,0.0,0.5045685279187817,0.0,0.5878629420668776,0.0,0.9666494704579249,0.0,0.8520263901979265,0.0,1381.0,5.39453125
E2_KD_from_MLP,0.9847864768683274,0.0,0.910200567663231,0.0,1,0.8306078370873188,0.0,0.9521072796934866,0.0,0.8447992486499178,0.0,0.9970252412696231,0.0,0.9264632316158079,0.0,1381.0,5.39453125
E2_KD_from_MLP_dkd,0.9829359430604983,0.0,0.8986025502858366,0.0,1,0.802757793764988,0.0,0.9511961722488038,0.0,0.8163461538461538,0.0,0.9970844908657197,0.0,0.9256281407035176,0.0,1381.0,5.39453125
E_KD_from_RF,0.9865658362989324,0.0,0.9177441596683815,0.0,1,0.8341232227488151,0.0,0.9520153550863724,0.0,0.858151023288638,0.0,0.9977645305514158,0.0,0.9466666666666667,0.0,1381.0,5.39453125
E_KD_from_RF_dkd,0.9769395017793594,0.0,0.8443316739377066,0.0,1,0.5661799340555818,0.0,0.9404878048780487,0.0,0.7832493214424195,0.0,0.9964076310920997,0.0,0.9353336782203828,0.0,1381.0,5.39453125
E_KD_from_RF_tricks,0.9825978647686833,0.0,0.8937686781484657,0.0,1,0.7647960748236737,0.0,0.9539347408829175,0.0,0.7986593248743117,0.0,0.9979408534672105,0.0,0.9535123966942148,0.0,1381.0,5.39453125
F_KD_from_CL_MLP,0.983576512455516,0.0,0.9032722308502074,0.0,1,0.8190360715368293,0.0,0.9502868068833652,0.0,0.8311935330480267,0.0,0.996818413920421,0.0,0.9190263288623944,0.0,1381.0,5.39453125
F_KD_from_CL_MLP_ext,0.984608540925267,0.0,0.9079497638537017,0.0,1,0.8257713248638838,0.0,0.9475691134413727,0.0,0.8404687873714423,0.0,0.9971532345145774,0.0,0.9287863590772317,0.0,1381.0,5.39453125
F_KD_from_CL_MLP_ext_dkd,0.9830427046263345,0.0,0.8977803571680422,0.0,1,0.8063076465337697,0.0,0.9457659372026641,0.0,0.8181154127100073,0.0,0.9971047491927648,0.0,0.9216080402010051,0.0,1381.0,5.39453125
F_KD_from_CL_MLP_ext_tricks,0.9834341637010676,0.0,0.9010521368851077,0.0,1,0.811046511627907,0.0,0.9493791786055397,0.0,0.8174171202375062,0.0,0.9972320376914017,0.0,0.9301858362631843,0.0,1381.0,5.39453125
F_KD_from_CL_MLP_fair,0.983576512455516,0.0,0.9032722308502074,0.0,1,0.8190360715368293,0.0,0.9502868068833652,0.0,0.8311935330480267,0.0,0.996818413920421,0.0,0.9190263288623944,0.0,1381.0,5.39453125
G_KD_random_pacing,0.9851245551601423,0.0,0.9092912788207623,0.0,1,0.8227316758153052,0.0,0.9430740037950665,0.0,0.8546617915904936,0.0,0.9972025638257148,0.0,0.9287863590772317,0.0,1381.0,5.39453125
I_KD_from_SMOTE_MLP,0.9845729537366548,0.0,0.9081291824740486,0.0,1,0.8228607514998422,0.0,0.9530201342281879,0.0,0.8476698353814051,0.0,0.9969959356776815,0.0,0.9200992555831266,0.0,1381.0,5.39453125
